state,modeldate,candidate_name,startdate,enddate,pollster,pollster_rating_id,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
"National","8/4/2024","Robert F. Kennedy","7/23/2024","7/29/2024","McLaughlin & Associates",203,1000,"lv",.7394398,.5840413,8,6.921732,6.990538,"",87640,204925
"Nevada","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,454,"rv",.8107653,.8107653,7,5.835171,5.99285,"",87624,204797
"Georgia","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,799,"rv",.9599783,.9599783,4,3.289924,3.26834,"",87622,204795
"Wisconsin","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,700,"rv",.9275542,.9275542,6,4.807007,4.839655,"",87627,204800
"Ohio","8/4/2024","Robert F. Kennedy","7/23/2024","7/28/2024","Fabrizio Lee & Associates/Impact Research",694,600,"lv",.8675019,.8675019,9,8.999999,9.067835,"",87650,205029
"North Carolina","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,706,"rv",.9296545,.9296545,5,4.064829,4.101599,"",87625,204798
"Michigan","8/4/2024","Robert F. Kennedy","7/24/2024","7/28/2024","Morning Consult",218,706,"rv",.9296545,.9296545,5,4.37062,4.394859,"",87623,204796
"National","8/4/2024","Robert F. Kennedy","7/24/2024","7/25/2024","Rasmussen Reports",277,2163,"lv",1.215129,.913587,5,5.219827,5.274766,"",200043,2000432
"New Hampshire","8/4/2024","Robert F. Kennedy","7/24/2024","7/25/2024","Saint Anselm College",494,2083,"rv",1.363115,1.284013,3,2.920153,2.95724,"",87560,204339
"Oregon","8/4/2024","Robert F. Kennedy","7/24/2024","7/26/2024","Hoffman Research Group",141,700,"lv",.8395725,.8395725,7,7.000001,7.050643,"",87634,204851
"Washington","8/4/2024","Robert F. Kennedy","7/24/2024","7/25/2024","Public Policy Polling",263,581,"lv",.9104527,.9104527,6,6.027587,6.089805,"",87576,204375
"National","8/4/2024","Robert F. Kennedy","7/24/2024","7/25/2024","Ipsos",154,1238,"a",.7997612,.6007187,4,3.167188,3.214782,"",87614,204763
"National","8/4/2024","Robert F. Kennedy","7/23/2024","7/25/2024","Fabrizio/GBAO",796,1000,"rv",.9019572,.6492203,4,3.677121,3.700848,"",87580,204500
"Maine","8/4/2024","Robert F. Kennedy","7/23/2024","7/25/2024","University of New Hampshire",357,1445,"lv",1.02402,1.02402,4,4.029306,4.078659,"",87558,204333
"New Hampshire","8/4/2024","Robert F. Kennedy","7/23/2024","7/25/2024","University of New Hampshire",357,2875,"lv",1.16764,1.066002,4,4.300328,4.338717,"",87559,204335
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/23/2024","7/25/2024","Bullfinch",692,800,"rv",.8577757,.777615,6,4.752875,4.716237,"",87575,204378
"National","8/4/2024","Robert F. Kennedy","7/23/2024","7/25/2024","AtlasIntel",546,1980,"rv",1.749679,1.259403,4.5,4.04591,4.070431,"",87590,204553
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/22/2024","7/28/2024","Susquehanna Polling & Research Inc.",326,600,"lv",1.078603,.7762104,3,3.232196,3.159749,"",87618,204782
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/25/2024","Harris Insights & Analytics",133,2472,"lv",1.230415,.6633671,8,5.962046,6.01906,"",87579,204443
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","RMG Research",555,2000,"rv",.9761361,.4874534,2,2.015171,1.959393,"",87539,204123
"Minnesota","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,475,"lv",.7872432,.7872432,6,5.974602,5.898401,"",87570,204355
"Nevada","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,435,"lv",.7668447,.4801922,5,5.068076,4.912062,"",87562,204356
"Arizona","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,510,"lv",.8031887,.6084656,4,4.008109,3.948192,"",87566,204351
"Arizona","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.9358239,5.2,4.231244,4.173658,"",87542,204153
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","SurveyMonkey",324,5265,"a",1.026118,.5229442,6,5.02819,4.970534,"",87561,204361
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","Ipsos",154,1018,"rv",.8518817,.429831,8,6.875876,6.802577,"",87530,203951
"Michigan","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,512,"lv",.804052,.5034912,7,6.761502,6.65706,"",87569,204354
"Wisconsin","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1046,"rv",1.403903,1.208237,5,4.0081,3.946732,"",87582,204503
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Big Village",37,1492,"lv",1.173604,.5981079,5.6,5.081624,4.911841,"",87541,204138
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,851,"lv",.9082868,.5687622,5,4.78272,4.670387,"",87563,204358
"Georgia","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,1180,"lv",.9752806,.8498426,3,3.216612,3.108762,"",87568,204353
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","Emerson College",88,850,"rv",1.260253,.7891607,3,2.606866,2.514512,"",87546,204157
"Michigan","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.7735412,4.7,4.233143,4.14804,"",87544,204155
"Georgia","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,1.076427,4.1,3.402744,3.298261,"",87543,204154
"Wisconsin","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","Emerson College",88,845,"rv",1.257808,1.082504,3.4,2.875894,2.82153,"",87545,204156
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1034,"rv",1.398447,.8756967,7,5.451127,5.331564,"",87583,204507
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/23/2024","YouGov",391,1155,"lv",.8567539,.4194448,4,5.602089,5.512217,"",87555,204188
"Michigan","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1012,"rv",1.388323,.8693573,7,5.893791,5.79657,"",87585,204515
"Minnesota","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1071,"rv",1.415126,1.415126,7,5.905768,5.812173,"",87584,204511
"Florida","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,572,"lv",.8278549,.8278549,5,4.975479,4.894649,"",87567,204352
"Michigan","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Glengariff Group",117,600,"lv",.9587052,.6003338,9.7,8.768398,8.659406,"",87572,204360
"North Carolina","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,586,"lv",.8328815,.6309597,4,3.973835,3.927122,"",87564,204357
"Wisconsin","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,523,"lv",.8087144,.6960016,5,4.77179,4.705273,"",87571,204359
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","Rasmussen Reports",277,1074,"lv",.9359708,.4711325,4,4.204233,4.142115,"",200041,2000412
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/24/2024","The New York Times/Siena College",448,1142,"lv",1.681785,.8570943,5,5.011999,4.956722,"",87557,204206
"Georgia","8/4/2024","Robert F. Kennedy","7/22/2024","7/22/2024","Landmark Communications",166,400,"lv",1.007723,.7809047,4,4.015224,3.854831,"",87534,204026
"National","8/4/2024","Robert F. Kennedy","7/22/2024","7/22/2024","Marist College",183,1117,"rv",1.429356,.4280586,7,5.666054,5.512769,"",87531,203980
"National","8/4/2024","Robert F. Kennedy","7/21/2024","7/23/2024","YouGov",391,1435,"rv",.9299326,.2477968,5,5.648896,5.460872,"",87536,204062
"National","8/4/2024","Robert F. Kennedy","7/19/2024","7/22/2024","YouGov",391,1178,"rv",.973237,.1516283,5,5.648896,5.410901,"",87529,203943
"New Hampshire","8/4/2024","Robert F. Kennedy","7/19/2024","7/21/2024","Praecones Analytica",257,601,"rv",.8685638,.1881233,20.5,15.97174,15.1603,"",87509,203620
"Arizona","8/4/2024","Robert F. Kennedy","7/19/2024","7/20/2024","Public Policy Polling",263,736,"rv",.9341649,.1981157,7,5.65558,5.430758,"",87525,203798
"National","8/4/2024","Robert F. Kennedy","7/19/2024","7/21/2024","Quinnipiac University",267,1257,"rv",1.355245,.1487464,6,5.115284,4.870818,"",87524,203795
"North Carolina","8/4/2024","Robert F. Kennedy","7/19/2024","7/20/2024","Public Policy Polling",263,573,"rv",.87103,.1847262,2,1.580301,1.48772,"",87526,203802
"National","8/4/2024","Robert F. Kennedy","7/19/2024","7/21/2024","Florida Atlantic University/Mainstreet Research",770,711,"lv",.9121562,.1001147,8.8,7.260635,6.983363,"",87528,203855
"Michigan","8/4/2024","Robert F. Kennedy","7/17/2024","7/18/2024","Public Policy Polling",263,650,"rv",.9036779,.0146614,6,5.127536,4.75249,"",87486,203577
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/17/2024","7/18/2024","Public Policy Polling",263,624,"rv",.8932962,.014493,4,3.324465,2.934261,"",87485,203573
"Michigan","8/4/2024","Robert F. Kennedy","7/13/2024","7/16/2024","Civiqs",471,532,"rv",.7372482,0,5,4.301686,3.573737,"",87494,203593
"Wisconsin","8/4/2024","Robert F. Kennedy","7/13/2024","7/16/2024","Civiqs",471,514,"rv",.7301393,.1322901,2,1.643536,1.092025,"",87493,203594
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/13/2024","7/16/2024","Civiqs",471,536,"rv",.738781,0,5,4.103232,3.299596,"",87492,203589
"National","8/4/2024","Robert F. Kennedy","7/13/2024","7/16/2024","YouGov",391,1404,"rv",1.252512,0,5,5.648896,4.422916,"",87437,203235
"Georgia","8/4/2024","Robert F. Kennedy","7/14/2024","7/15/2024","Florida Atlantic University/Mainstreet Research",770,312,"lv",.5097461,.0917871,9,8.072337,6.859376,"",87471,203507
"Virginia","8/4/2024","Robert F. Kennedy","7/14/2024","7/15/2024","Florida Atlantic University/Mainstreet Research",770,265,"lv",.479259,.479259,5,4.840736,3.683098,"",87473,203521
"Virginia","8/4/2024","Robert F. Kennedy","7/12/2024","7/13/2024","Florida Atlantic University/Mainstreet Research",770,544,"lv",.6923547,.6370167,10,9.790063,8.102998,"",87440,203513
"National","8/4/2024","Robert F. Kennedy","7/12/2024","7/14/2024","Big Village",37,1499,"lv",1.174875,0,9.2,8.566324,6.534232,"",87432,203162
"Georgia","8/4/2024","Robert F. Kennedy","7/12/2024","7/13/2024","Florida Atlantic University/Mainstreet Research",770,549,"lv",.6749906,.0998378,6,5.214467,4.082174,"",87441,203499
"Virginia","8/4/2024","Robert F. Kennedy","7/9/2024","7/12/2024","The New York Times/Siena College",448,661,"lv",1.372263,1.153055,7,7.092897,5.488081,"",87404,202989
"Pennsylvania","8/4/2024","Robert F. Kennedy","7/9/2024","7/11/2024","The New York Times/Siena College",448,872,"lv",1.521815,0,6,5.654197,4.0754,"",87403,202987
"National","8/4/2024","Robert F. Kennedy","7/7/2024","7/13/2024","Manhattan Institute",781,2100,"lv",1.078746,0,6,6.543413,4.287455,"",87436,203227
"National","8/4/2024","Robert F. Kennedy","7/7/2024","7/9/2024","YouGov",391,1443,"rv",1.247629,0,5,5.648896,3.170022,"",87363,202541
"National","8/4/2024","Robert F. Kennedy","7/8/2024","7/8/2024","Redfield & Wilton Strategies",562,1101,"lv",.9610172,0,8,7.911099,5.09138,"",87364,202570
"National","8/4/2024","Robert F. Kennedy","6/28/2024","6/30/2024","Harris Insights & Analytics",133,1500,"rv",1.260684,0,16.5,12.18707,7.629038,"",87304,202058
"National","8/4/2024","Kamala Harris","7/30/2024","8/2/2024","YouGov",391,3092,"lv",1.353623,1.353623,49,48.54074,48.53264,"",200044,2000442
"Arizona","8/4/2024","Kamala Harris","7/29/2024","7/30/2024","Public Policy Polling",263,618,"rv",.8908122,.8908122,47,45.00434,44.79702,"",87631,204847
"Pennsylvania","8/4/2024","Kamala Harris","7/29/2024","7/30/2024","Public Policy Polling",263,627,"rv",.8945254,.8945254,47,44.88464,44.84108,"",87632,204848
"Georgia","8/4/2024","Kamala Harris","7/29/2024","7/30/2024","Trafalgar Group/InsiderAdvantage",671,,"lv",.8285843,.8285843,47,44.31697,44.63859,"",87658,205167
"National","8/4/2024","Kamala Harris","7/29/2024","7/31/2024","RMG Research",555,3000,"rv",1.214496,1.12733,47,46.64508,46.80018,"",87656,205165
"Georgia","8/4/2024","Kamala Harris","7/29/2024","7/30/2024","Public Policy Polling",263,662,"rv",.9082701,.9082701,48,45.46563,45.64419,"",87633,204849
"National","8/4/2024","Kamala Harris","7/27/2024","7/30/2024","YouGov",391,1434,"rv",.9223676,.8232549,46,46.72142,46.87796,"",87628,204845
"National","8/4/2024","Kamala Harris","7/29/2024","7/29/2024","Redfield & Wilton Strategies",562,1750,"lv",1.05666,.9456279,45,45.9545,46.13514,"",87619,204785
"National","8/4/2024","Kamala Harris","7/27/2024","7/30/2024","Civiqs",471,1123,"rv",.8738968,.782069,49,46.13754,46.34126,"",87641,204936
"Pennsylvania","8/4/2024","Kamala Harris","7/27/2024","7/28/2024","Quantus Polls and News",859,500,"rv",.7591876,.6985504,46.4,45.3748,45.6824,"",87638,204875
"National","8/4/2024","Kamala Harris","7/26/2024","7/29/2024","American Pulse",836,1035,"lv",.9366338,.805407,46.2,45.78802,46.06836,"",87643,204991
"National","8/4/2024","Kamala Harris","7/26/2024","7/28/2024","Ipsos",154,876,"rv",.6775283,.5567042,43,42.27802,42.57777,"",87630,204846
"National","8/4/2024","Kamala Harris","7/26/2024","7/28/2024","Morning Consult",218,11538,"rv",1.153818,.9490178,47,45.45742,45.81952,"T",87597,204617
"National","8/4/2024","Kamala Harris","7/26/2024","7/28/2024","Leger",572,786,"lv",1.001678,.8262531,48,47.00239,47.35644,"",87642,204940
"National","8/4/2024","Kamala Harris","7/24/2024","7/29/2024","ActiVote",721,1000,"lv",.875528,.7193125,44.3,43.72587,44.0355,"",87639,204877
"National","8/4/2024","Kamala Harris","7/26/2024","7/27/2024","Florida Atlantic University/Mainstreet Research",770,952,"lv",.9772951,.8061405,44,44.91509,45.20387,"",87617,204775
"National","8/4/2024","Kamala Harris","7/26/2024","7/28/2024","Harris Insights & Analytics",133,2196,"rv",1.174445,.9649319,43.5,44.08179,44.3882,"",87613,204702
"New Hampshire","8/4/2024","Kamala Harris","7/26/2024","7/28/2024","Emerson College",88,1000,"rv",1.329066,1.329066,47.7,48.74754,49.08877,"",87635,204853
"Arizona","8/4/2024","Kamala Harris","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.799179,43,41.03378,41.52264,"",87644,204993
"Nevada","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,454,"rv",.8107653,.8107653,43,43.58581,44.14065,"",87624,204797
"Ohio","8/4/2024","Kamala Harris","7/23/2024","7/28/2024","Fabrizio Lee & Associates/Impact Research",694,600,"lv",.8675019,.8675019,39,39,39.29044,"",87650,205029
"Pennsylvania","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,804,"rv",.9615175,.8079224,44,44.92559,45.32155,"",87626,204799
"Arizona","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,804,"rv",.9615175,.8079224,48,47.80316,48.31217,"",87621,204794
"Florida","8/4/2024","Kamala Harris","7/24/2024","7/27/2024","University of North Florida",360,774,"lv",1.264148,1.264148,42,39.26227,39.84354,"",87612,204676
"Michigan","8/4/2024","Kamala Harris","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.9511118,45,43.00444,43.37433,"",87645,204994
"National","8/4/2024","Kamala Harris","7/25/2024","7/27/2024","Morning Consult",218,4000,"rv",.2493678,.1961714,47,45.43447,45.84577,"T",87598,204618
"Georgia","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,799,"rv",.9599783,.8066291,45,45.44475,45.93219,"",87622,204795
"Wisconsin","8/4/2024","Kamala Harris","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.9511118,48,45.49577,45.90046,"",87648,204997
"Wisconsin","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,700,"rv",.9275542,.9275542,44,45.07533,45.48695,"",87627,204800
"Michigan","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,706,"rv",.9296545,.9296545,51,50.63208,51.01457,"",87623,204796
"National","8/4/2024","Kamala Harris","7/23/2024","7/29/2024","McLaughlin & Associates",203,1000,"lv",.7394398,.5840413,41,42.24425,42.6494,"",87640,204925
"Nevada","8/4/2024","Kamala Harris","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.9511118,45,42.35979,42.92557,"",87646,204995
"Pennsylvania","8/4/2024","Kamala Harris","7/23/2024","7/29/2024","Public Opinion Strategies",260,400,"lv",.9511118,.799179,48,45.34506,45.73108,"",87647,204996
"North Carolina","8/4/2024","Kamala Harris","7/24/2024","7/28/2024","Morning Consult",218,706,"rv",.9296545,.9296545,44,44.84675,45.19748,"",87625,204798
"Washington","8/4/2024","Kamala Harris","7/24/2024","7/25/2024","Public Policy Polling",263,581,"lv",.9104527,.9104527,52,50.07895,51.26184,"",87576,204375
"New Hampshire","8/4/2024","Kamala Harris","7/24/2024","7/25/2024","Saint Anselm College",494,2083,"rv",1.363115,1.284013,50,50.40546,50.82573,"",87560,204339
"National","8/4/2024","Kamala Harris","7/24/2024","7/25/2024","Ipsos",154,1238,"a",.6273472,.4713413,38,40.94225,41.38684,"",87614,204763
"Oregon","8/4/2024","Kamala Harris","7/24/2024","7/26/2024","Hoffman Research Group",141,700,"lv",.8395725,.8395725,45,45,45.37822,"",87634,204851
"National","8/4/2024","Kamala Harris","7/24/2024","7/25/2024","Rasmussen Reports",277,2163,"lv",1.215129,.913587,45,45.35431,45.85007,"",200043,2000432
"National","8/4/2024","Kamala Harris","7/24/2024","7/26/2024","Morning Consult",218,4000,"rv",.2498421,.1874944,46,44.415,44.92459,"T",87599,204619
"Maine","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","University of New Hampshire",357,1445,"lv",1.02402,1.02402,48,47.98523,48.36835,"",87558,204333
"Minnesota","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","SurveyUSA",325,656,"lv",1.293963,1.293963,50,47.37925,47.84477,"",87581,204502
"National","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","AtlasIntel",546,1980,"rv",1.749679,1.259403,46.1,46.32811,46.90863,"",87590,204553
"New Hampshire","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","University of New Hampshire",357,2875,"lv",1.16764,1.066002,49,48.82276,49.27961,"",87559,204335
"National","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","Fabrizio/GBAO",796,1000,"rv",.9019572,.6492203,45,45.6645,46.24014,"",87580,204500
"Pennsylvania","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","Bullfinch",692,800,"rv",.8577757,.6522411,44,45.03019,45.53226,"",87575,204378
"National","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","Angus Reid Global",13,1743,"rv",1.373048,.9883071,44,43.61415,44.1901,"",87592,204593
"National","8/4/2024","Kamala Harris","7/23/2024","7/25/2024","Morning Consult",218,4000,"rv",.2533191,.1807941,46,44.39212,44.97869,"T",87600,204620
"Pennsylvania","8/4/2024","Kamala Harris","7/22/2024","7/28/2024","Susquehanna Polling & Research Inc.",326,600,"lv",1.078603,.6478565,47,46.42948,47.17842,"",87618,204782
"National","8/4/2024","Kamala Harris","7/22/2024","7/25/2024","Harris Insights & Analytics",133,2472,"lv",1.213677,.6519367,45,44.40852,45.38564,"",87579,204443
"National","8/4/2024","Kamala Harris","7/22/2024","7/26/2024","Clarity Campaign Labs",52,995,"lv",1.142427,.622234,48,44.91987,45.9086,"",87659,205198
"Pennsylvania","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,851,"lv",.9082868,.4730112,42,42.60555,43.47197,"",87563,204358
"Wisconsin","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1046,"rv",1.403903,.8469938,46,46.74937,47.61454,"",87582,204503
"Georgia","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.6433157,43.3,44.13856,45.1228,"",87543,204154
"Wisconsin","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,523,"lv",.8087144,.4879084,44,44.3907,45.25056,"",87571,204359
"National","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","RMG Research",555,2000,"rv",.9761361,.4874534,46,45.64574,46.75532,"",87539,204123
"Minnesota","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,475,"lv",.7872432,.5883062,44,44.6223,45.43731,"",87570,204355
"Michigan","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,512,"lv",.804052,.4850955,41,41.72412,42.59411,"",87569,204354
"National","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","Ipsos",154,1018,"rv",.7428646,.3710651,42,43.28072,44.33196,"",87530,203951
"North Carolina","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,586,"lv",.8328815,.6309597,43,43.30075,44.12122,"",87564,204357
"National","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Big Village",37,1492,"lv",1.173604,.5981079,42.7,43.98542,45.10021,"",87541,204138
"National","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Rasmussen Reports",277,1074,"lv",.9359708,.4711325,42,42.35085,43.44281,"",200041,2000412
"Pennsylvania","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","Emerson College",88,850,"rv",1.260253,.6563057,44.3,45.24374,46.11395,"",87546,204157
"National","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","YouGov",391,1155,"lv",.8567539,.4194448,44,43.5451,44.59161,"",87555,204188
"Michigan","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.7452789,43.8,44.82708,45.6996,"",87544,204155
"National","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","SSRS",297,1631,"rv",.9972708,.5082427,46,44.38086,45.39936,"",200042,2000421
"Wisconsin","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","Emerson College",88,845,"rv",1.257808,.7588529,45.4,46.35646,47.2204,"",87545,204156
"Florida","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,572,"lv",.8278549,.7100108,39,38.91481,40.01611,"",87567,204352
"Pennsylvania","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1034,"rv",1.398447,.7282733,45,45.71445,46.58358,"",87583,204507
"Georgia","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,1180,"lv",.9752806,.5078998,42,42.29294,43.28222,"",87568,204353
"Nevada","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,435,"lv",.7668447,.6576853,43,42.81242,43.99255,"",87562,204356
"Michigan","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1012,"rv",1.388323,.8375943,43,44.14442,45.01115,"",87585,204515
"Arizona","8/4/2024","Kamala Harris","7/22/2024","7/23/2024","Emerson College",88,800,"rv",1.235309,.6433157,39.8,41.2618,42.35227,"",87542,204153
"National","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Morning Consult",218,11297,"rv",.4644938,.2232552,46,44.25482,45.36842,"T",87552,204169
"National","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Change Research",48,2137,"rv",1.139644,.5808007,44,43.33194,44.39306,"",87553,204173
"Minnesota","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Beacon Research/Shaw & Co. Research",103,1071,"rv",1.415126,1.057523,47,47.80706,48.61649,"",87584,204511
"National","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","SurveyMonkey",324,5265,"a",1.026118,.5229442,38,42.02111,43.07774,"",87561,204361
"Michigan","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Glengariff Group",117,600,"lv",.9587052,.5783999,41.6,42.21144,43.07565,"",87572,204360
"Arizona","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","Redfield & Wilton Strategies",562,510,"lv",.8031887,.4182789,43,42.96583,44.06385,"",87566,204351
"National","8/4/2024","Kamala Harris","7/22/2024","7/24/2024","The New York Times/Siena College",448,1142,"lv",1.681785,.8570943,44,44.00202,45.06097,"",87557,204206
"Georgia","8/4/2024","Kamala Harris","7/22/2024","7/22/2024","Landmark Communications",166,400,"lv",1.007723,.2833309,44.3,43.77496,45.30061,"",87534,204026
"National","8/4/2024","Kamala Harris","7/21/2024","7/23/2024","ActiVote",721,1000,"lv",.8537234,.2394981,49.5,46.04466,47.62133,"",87537,204106
"National","8/4/2024","Kamala Harris","7/21/2024","7/23/2024","YouGov",391,1435,"rv",.9299326,.2477968,41,41.71005,43.2541,"",87536,204062
"National","8/4/2024","Kamala Harris","7/22/2024","7/22/2024","Marist College",183,1117,"rv",1.429356,.4280586,42,41.75369,43.27182,"",87531,203980
"Pennsylvania","8/4/2024","Kamala Harris","7/20/2024","7/23/2024","North Star Opinion Research",233,600,"lv",.9908795,.2785951,45,42.61617,43.853,"",87540,204126
"National","8/4/2024","Kamala Harris","7/21/2024","7/22/2024","Morning Consult",218,4001,"rv",1.176576,.1895945,45,43.00888,44.98317,"",87523,203777
"National","8/4/2024","Kamala Harris","7/19/2024","7/22/2024","YouGov",391,1178,"rv",.9547908,.1448797,41,41.71005,43.68241,"",87529,203943
"National","8/4/2024","Kamala Harris","7/19/2024","7/21/2024","Echelon Insights",407,982,"lv",1.198089,.1314975,47,43.40528,45.75561,"",87520,203669
"National","8/4/2024","Kamala Harris","7/19/2024","7/21/2024","Florida Atlantic University/Mainstreet Research",770,711,"lv",.9121562,.1001147,39.3,40.19753,42.57453,"",87528,203855
"Arizona","8/4/2024","Kamala Harris","7/19/2024","7/20/2024","Public Policy Polling",263,736,"rv",.8179438,.042658,40,39.9587,42.11086,"",87525,203798
"North Carolina","8/4/2024","Kamala Harris","7/19/2024","7/20/2024","Public Policy Polling",263,573,"rv",.87103,.1847262,44,43.73279,45.64264,"",87526,203802
"National","8/4/2024","Kamala Harris","7/19/2024","7/21/2024","Harris Insights & Analytics",133,2169,"lv",1.40644,.1513911,46,42.22239,44.63686,"",87521,203737
"National","8/4/2024","Kamala Harris","7/19/2024","7/21/2024","Quinnipiac University",267,1257,"rv",1.355245,.1487464,41,42.30737,44.64872,"",87524,203795
"New Hampshire","8/4/2024","Kamala Harris","7/19/2024","7/21/2024","Praecones Analytica",257,601,"rv",.8685638,.1881233,39.3,41.79485,43.78434,"",87509,203620
